"level","Overall","N1","N2","SMD"
"","     62","     41","    21",""
"","  60.26 (12.37)","  60.85 (11.04)"," 59.10 (14.85)"," 0.134"
"Male","     19 (30.6) ","     10 (24.4) ","     9 (42.9) "," 0.399"
"Female","     43 (69.4) ","     31 (75.6) ","    12 (57.1) ",""
"T1/T2","      9 (14.5) ","      7 (17.1) ","     2 ( 9.5) "," 0.298"
"T3","     42 (67.7) ","     28 (68.3) ","    14 (66.7) ",""
"T4","     11 (17.7) ","      6 (14.6) ","     5 (23.8) ",""
"","  15.00 [10.50, 21.75]","  16.00 [14.00, 23.00]"," 15.00 [10.00, 17.00]"," 0.342"
"","   2.00 [1.00, 4.00]","   1.00 [1.00, 2.00]","  6.00 [4.00, 9.00]"," 1.965"
"","   0.13 [0.07, 0.46]","   0.10 [0.06, 0.13]","  0.50 [0.33, 0.93]"," 1.509"
"Low grade","     55 (88.7) ","     39 (95.1) ","    16 (76.2) "," 0.561"
"High grade","      7 (11.3) ","      2 ( 4.9) ","     5 (23.8) ",""
"Absent","     33 (53.2) ","     25 (61.0) ","     8 (38.1) "," 0.470"
"Present","     29 (46.8) ","     16 (39.0) ","    13 (61.9) ",""
"Inadequate (<12)","     16 (25.8) ","     10 (24.4) ","     6 (28.6) "," 0.095"
"Adequate (>=12)","     46 (74.2) ","     31 (75.6) ","    15 (71.4) ",""
"","1058.00 [336.25, 2514.75]","1604.00 [466.00, 2541.00]","558.00 [206.00, 2066.00]"," 0.382"
"0","     28 (45.2) ","     22 (53.7) ","     6 (28.6) "," 0.527"
"1","     34 (54.8) ","     19 (46.3) ","    15 (71.4) ",""
"0","     38 (61.3) ","     29 (70.7) ","     9 (42.9) "," 0.586"
"1","     24 (38.7) ","     12 (29.3) ","    12 (57.1) ",""
